id,report_id,account_name,balance_start,income_amount,expense_amount,balance_current,account_type,level,currency,is_total_row,created_at,subconto,parent_id,account_id,parent_account_id
ab915cd3-92bf-4262-9697-6e4b072ad7e1,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,0.00,6000000.00,0.00,0.00,total,3,RUB,false,2025-07-23 17:32:42.096449+00,7.7.Вложениевременносвободныхденежныхсредств,b4df7841-99b8-46e2-9954-89befca419c8,40124d93-eabc-11ef-967e-2c6dc1e036d0,40124d92-eabc-11ef-967e-2c6dc1e036d0
34f3cae8-b749-4fa8-9bfc-9180f4a58515,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Сбербанк,0.00,0.00,6000000.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.096449+00,7.7.Вложениевременносвободныхденежныхсредств,b4df7841-99b8-46e2-9954-89befca419c8,40124d93-eabc-11ef-967e-2c6dc1e036d0,f5501db2-d0ca-11ef-967e-2c6dc1e036d0
b4df7841-99b8-46e2-9954-89befca419c8,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,6000000.00,6000000.00,6000000.00,6000000.00,total,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,40124d92-eabc-11ef-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
ad737167-443f-4442-b350-117fed564892,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Сбербанк,0.00,16489.32,0.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.096449+00,6.2.Процентыполученные,43a3904c-b5f7-488a-a580-578e0eeffd23,e6f83c5b-e3d5-11ef-967e-2c6dc1e036d0,f5501db2-d0ca-11ef-967e-2c6dc1e036d0
9139f055-f854-4d27-b620-815ba51c2beb,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Сбербанк,0.00,0.00,98.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.096449+00,3.10.1.Расчетно-кассовоеобслуживание,43a3904c-b5f7-488a-a580-578e0eeffd23,495fafa8-d68b-11ef-967e-2c6dc1e036d0,f5501db2-d0ca-11ef-967e-2c6dc1e036d0
0484e198-4d7e-4487-a0a4-5480626bb667,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Сбербанк,0.00,0.00,1325.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.096449+00,2.1.5.Транспортныерасходы(поступлениеТМЦ),43a3904c-b5f7-488a-a580-578e0eeffd23,4931e8f1-486e-11ed-967d-14857fc22c97,f5501db2-d0ca-11ef-967e-2c6dc1e036d0
66f50260-d95a-40b5-9be7-0983d7a5dce7,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Сбербанк,0.00,107214.40,0.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.096449+00,1.1.Поступленияпоосновнойдеятельности,43a3904c-b5f7-488a-a580-578e0eeffd23,e6f83c52-e3d5-11ef-967e-2c6dc1e036d0,f5501db2-d0ca-11ef-967e-2c6dc1e036d0
43a3904c-b5f7-488a-a580-578e0eeffd23,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Сбербанк,1171854.91,6123703.72,6032412.60,1263146.03,bank,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,f5501db2-d0ca-11ef-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
0c120b62-1408-4fa4-ab54-e907ffc1815e,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Промсвязьбанк8702,78740.99,0.00,0.00,78740.99,bank,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,7e334a90-203f-11f0-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
1c9897b8-4463-4666-9a16-47a0f033051e,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Промсвязьбанк7517,49926.62,0.00,0.00,49926.62,bank,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,7e334a66-203f-11f0-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
1380255d-aba8-453d-9257-6d3a87ee0a47,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Промсвязьбанк5888,-56902.22,0.00,0.00,-56902.22,bank,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,de9003e9-258c-11f0-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
697f23cc-e810-43f1-ab06-386b48dd3f72,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Промсвязьбанк5888,56902.22,0.00,0.00,56902.22,bank,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,1ac84aac-eafb-11ef-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
45da6ecc-cc15-4683-a2d7-8ced04388594,5e50b7ec-3a41-4891-af2f-4d27d84278ec,Промсвязьбанк5488,32678.76,0.00,0.00,32678.76,bank,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,b2708a64-565d-11f0-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
8c913394-fd8a-45eb-b580-fe13ec8699ee,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,126850.36,0.00,0.00,126850.36,total,2,RUB,false,2025-07-23 17:32:42.096449+00,,92cc61d2-6f7d-494c-b911-cd627ebc119b,d7ad0b66-5aff-11f0-967e-2c6dc1e036d0,df20d8a9-eaa5-40fb-8d26-d313c7f63cf1
6d33be67-9651-4c63-bb4e-406454992727,5e50b7ec-3a41-4891-af2f-4d27d84278ec,,0.00,0.00,26500.00,0.00,total,3,RUB,false,2025-07-23 17:32:42.096449+00,2.1.1.Оплатапофактузатоварыиосновныематериалы,de670816-83a6-4431-9f4c-aecf17e94c3a,227a715a-e46d-11ef-967e-2c6dc1e036d0,445c70f5-63a8-11f0-967e-2c6dc1e036d0
